OrderID,OrderDate,ShipDate,ShipMode,CustomerID,Sales,Quantity,Discount,Profit,ProductCount
CA-2017-146780,2017-12-25 00:00:00.000000,2017-12-30 00:00:00.000000,Standard Class,CV-12805,41.96,2,0.0,10.9096,1
CA-2016-128867,2016-11-03 00:00:00.000000,2016-11-10 00:00:00.000000,Standard Class,CL-12565,103.19999999999999,8,0.0,36.1356,2
CA-2014-115259,2014-08-25 00:00:00.000000,2014-08-27 00:00:00.000000,Second Class,RC-19960,199.256,25,0.8,67.7109,4
CA-2015-110457,2015-03-02 00:00:00.000000,2015-03-06 00:00:00.000000,Standard Class,DK-13090,787.53,3,0.0,165.3813,1
US-2015-136476,2015-04-05 00:00:00.000000,2015-04-10 00:00:00.000000,Standard Class,GG-14650,157.794,1,0.7,-115.7156,1
CA-2016-103730,2016-06-12 00:00:00.000000,2016-06-15 00:00:00.000000,First Class,SC-20725,487.5,29,0.0,167.151,5
US-2014-152030,2014-12-26 00:00:00.000000,2014-12-28 00:00:00.000000,Second Class,AD-10180,600.558,3,0.3,-8.5794,1
US-2014-134614,2014-09-20 00:00:00.000000,2014-09-25 00:00:00.000000,Standard Class,PF-19165,617.7,6,0.5,-407.682,1
US-2017-107272,2017-11-05 00:00:00.000000,2017-11-12 00:00:00.000000,Standard Class,TS-21610,246.38,9,0.8999999999999999,28.6682,2
US-2016-125969,2016-11-06 00:00:00.000000,2016-11-10 00:00:00.000000,Second Class,LS-16975,319.98400000000004,5,0.2,17.0814,2
US-2017-164147,2017-02-02 00:00:00.000000,2017-02-05 00:00:00.000000,First Class,DW-13585,159.73,16,0.8,24.343200000000003,3
CA-2016-145583,2016-10-13 00:00:00.000000,2016-10-19 00:00:00.000000,Standard Class,LC-16885,256.19599999999997,33,0.2,97.50739999999999,7
CA-2016-110366,2016-09-05 00:00:00.000000,2016-09-07 00:00:00.000000,Second Class,JD-15895,82.8,2,0.2,10.35,1
CA-2017-106180,2017-09-18 00:00:00.000000,2017-09-23 00:00:00.000000,Standard Class,SH-19975,163.38,9,0.0,76.4616,3
CA-2017-155376,2017-12-22 00:00:00.000000,2017-12-27 00:00:00.000000,Standard Class,SG-20080,839.43,3,0.0,218.2518,1
CA-2015-110744,2015-09-07 00:00:00.000000,2015-09-12 00:00:00.000000,Standard Class,HA-14920,671.93,7,0.0,20.1579,1
CA-2014-110072,2014-10-22 00:00:00.000000,2014-10-28 00:00:00.000000,Standard Class,MG-17680,93.888,4,0.2,12.9096,1
CA-2016-114489,2016-12-05 00:00:00.000000,2016-12-09 00:00:00.000000,Standard Class,JE-16165,2657.81,27,0.0,775.9808,4
CA-2016-158834,2016-03-13 00:00:00.000000,2016-03-16 00:00:00.000000,First Class,TW-21025,361.104,7,0.4,33.004799999999996,2
CA-2015-124919,2015-05-31 00:00:00.000000,2015-06-02 00:00:00.000000,First Class,SP-20650,244.78,17,0.0,95.83900000000001,3
CA-2015-118948,2015-05-28 00:00:00.000000,2015-06-03 00:00:00.000000,Standard Class,NK-18490,6.63,3,0.0,1.7901,1
CA-2014-104269,2014-03-01 00:00:00.000000,2014-03-06 00:00:00.000000,Second Class,DB-13060,457.568,2,0.2,51.4764,1
CA-2016-114104,2016-11-20 00:00:00.000000,2016-11-24 00:00:00.000000,Standard Class,NP-18670,959.55,9,0.0,243.10389999999998,2
CA-2016-162733,2016-05-11 00:00:00.000000,2016-05-12 00:00:00.000000,First Class,TT-21070,5.98,1,0.0,2.691,1
CA-2015-119697,2015-12-28 00:00:00.000000,2015-12-31 00:00:00.000000,Second Class,EM-13960,54.384,2,0.2,1.3596,1
CA-2016-154508,2016-11-16 00:00:00.000000,2016-11-20 00:00:00.000000,Standard Class,RD-19900,28.4,5,0.0,13.348,1
CA-2016-113817,2016-11-07 00:00:00.000000,2016-11-11 00:00:00.000000,Standard Class,MJ-17740,27.68,2,0.2,9.688,1
CA-2014-139892,2014-09-08 00:00:00.000000,2014-09-12 00:00:00.000000,Standard Class,BM-11140,10539.896,37,2.3000000000000003,-1878.7892,7
CA-2014-118962,2014-08-05 00:00:00.000000,2014-08-09 00:00:00.000000,Standard Class,CS-12130,472.044,12,0.2,84.36160000000001,3
US-2014-100853,2014-09-14 00:00:00.000000,2014-09-19 00:00:00.000000,Standard Class,JB-15400,72.608,6,1.0,-124.56800000000001,2
US-2017-152366,2017-04-21 00:00:00.000000,2017-04-25 00:00:00.000000,Second Class,SJ-20500,97.264,4,0.8,-243.16,1
US-2015-101511,2015-11-21 00:00:00.000000,2015-11-23 00:00:00.000000,Second Class,JE-15745,412.682,12,0.5,-15.108699999999999,2
CA-2015-137225,2015-12-15 00:00:00.000000,2015-12-19 00:00:00.000000,Standard Class,JK-15640,3.28,1,0.0,1.4104,1
CA-2014-166191,2014-12-05 00:00:00.000000,2014-12-09 00:00:00.000000,Second Class,DK-13150,433.56,9,0.4,78.5007,2
CA-2014-158274,2014-11-19 00:00:00.000000,2014-11-24 00:00:00.000000,Second Class,RM-19675,682.91,11,0.0,180.26559999999998,3
CA-2016-105018,2016-11-28 00:00:00.000000,2016-12-02 00:00:00.000000,Standard Class,SK-19990,7.16,2,0.0,3.4368,1
CA-2014-123260,2014-08-26 00:00:00.000000,2014-08-30 00:00:00.000000,Standard Class,FM-14290,176.8,8,0.0,22.984,1
CA-2016-157000,2016-07-16 00:00:00.000000,2016-07-22 00:00:00.000000,Standard Class,AM-10360,57.239999999999995,6,0.4,9.9774,2
CA-2015-102281,2015-10-12 00:00:00.000000,2015-10-14 00:00:00.000000,First Class,MP-17470,1668.988,26,0.4,210.91140000000001,5
CA-2015-131457,2015-10-31 00:00:00.000000,2015-11-06 00:00:00.000000,Standard Class,MZ-17515,14.28,7,0.0,6.7116,1
CA-2014-140004,2014-03-21 00:00:00.000000,2014-03-25 00:00:00.000000,Standard Class,CB-12025,13.456,5,0.4,2.7914,2
CA-2017-107720,2017-11-06 00:00:00.000000,2017-11-13 00:00:00.000000,Standard Class,VM-21685,46.26,3,0.0,12.0276,1
US-2017-124303,2017-07-06 00:00:00.000000,2017-07-13 00:00:00.000000,Standard Class,FH-14365,19.002000000000002,5,0.8999999999999999,3.5616999999999996,2
CA-2017-105074,2017-06-24 00:00:00.000000,2017-06-29 00:00:00.000000,Standard Class,MB-17305,21.744,3,0.2,6.795,1
CA-2014-133690,2014-08-03 00:00:00.000000,2014-08-05 00:00:00.000000,First Class,BS-11755,221.35,3,0.7,-161.5825,2
US-2017-116701,2017-12-17 00:00:00.000000,2017-12-21 00:00:00.000000,Second Class,LC-17140,66.284,2,0.8,-178.9668,1
CA-2017-126382,2017-06-03 00:00:00.000000,2017-06-07 00:00:00.000000,Standard Class,HK-14890,35.168,7,0.2,9.6712,1
CA-2017-108329,2017-12-09 00:00:00.000000,2017-12-14 00:00:00.000000,Standard Class,LE-16810,444.768,4,0.2,44.4768,1
CA-2017-135860,2017-12-01 00:00:00.000000,2017-12-07 00:00:00.000000,Standard Class,JH-15985,376.09999999999997,20,0.0,68.8809,5
CA-2015-101007,2015-02-09 00:00:00.000000,2015-02-13 00:00:00.000000,Second Class,MS-17980,20.8,2,0.2,6.5,1
CA-2015-146262,2015-01-02 00:00:00.000000,2015-01-09 00:00:00.000000,Standard Class,VW-21775,1816.6960000000001,21,2.0,-1196.0596,5
CA-2016-130162,2016-10-28 00:00:00.000000,2016-11-01 00:00:00.000000,Standard Class,JH-15910,395.436,9,0.2,48.735,2
CA-2015-169397,2015-12-24 00:00:00.000000,2015-12-27 00:00:00.000000,First Class,JB-15925,627.924,22,2.2,-365.987,6
CA-2015-163055,2015-08-09 00:00:00.000000,2015-08-16 00:00:00.000000,Standard Class,DS-13180,646.6300000000001,7,0.0,138.12679999999997,3
US-2015-145436,2015-02-28 00:00:00.000000,2015-03-04 00:00:00.000000,Standard Class,VD-21670,551.264,10,0.4,15.566400000000002,2
US-2014-156216,2014-09-13 00:00:00.000000,2014-09-17 00:00:00.000000,Standard Class,EA-14035,18.648,7,0.7,-12.432,1
US-2017-100930,2017-04-07 00:00:00.000000,2017-04-12 00:00:00.000000,Standard Class,CS-12400,1735.8505,13,2.0,-361.57050000000004,5
CA-2017-160514,2017-11-12 00:00:00.000000,2017-11-16 00:00:00.000000,Standard Class,DB-13120,10.56,2,0.0,4.752,1
CA-2016-157749,2016-06-04 00:00:00.000000,2016-06-09 00:00:00.000000,Second Class,KL-16645,677.949,25,2.9,-462.9528000000001,7
CA-2014-131926,2014-06-01 00:00:00.000000,2014-06-06 00:00:00.000000,Second Class,DW-13480,3745.63,24,0.0,1154.6735,5
CA-2016-154739,2016-12-10 00:00:00.000000,2016-12-15 00:00:00.000000,Second Class,LH-17155,321.568,2,0.2,28.1372,1
CA-2016-145625,2016-09-11 00:00:00.000000,2016-09-17 00:00:00.000000,Standard Class,KC-16540,3354.98,14,0.0,639.577,2
CA-2016-146941,2016-12-10 00:00:00.000000,2016-12-13 00:00:00.000000,First Class,DL-13315,442.5,10,0.0,185.4264,2
US-2015-159982,2015-11-28 00:00:00.000000,2015-12-04 00:00:00.000000,Standard Class,DR-12880,796.3240000000001,22,1.2,32.680800000000005,4
CA-2017-163139,2017-12-01 00:00:00.000000,2017-12-03 00:00:00.000000,Second Class,CC-12670,259.44,11,0.2,19.704299999999996,3
US-2017-155299,2017-06-08 00:00:00.000000,2017-06-12 00:00:00.000000,Standard Class,Dl-13600,1.624,2,0.8,-4.466,1
US-2014-106992,2014-09-19 00:00:00.000000,2014-09-21 00:00:00.000000,Second Class,SB-20290,5579.9400000000005,10,0.8,-761.9928,2
CA-2016-125318,2016-06-06 00:00:00.000000,2016-06-13 00:00:00.000000,Standard Class,RC-19825,328.224,4,0.2,28.7196,1
CA-2015-155040,2015-11-10 00:00:00.000000,2015-11-15 00:00:00.000000,Standard Class,AH-10210,79.9,2,0.0,35.156,1
CA-2017-136826,2017-06-16 00:00:00.000000,2017-06-20 00:00:00.000000,Standard Class,CB-12535,14.016,3,0.2,4.7304,1
CA-2016-111010,2016-01-22 00:00:00.000000,2016-01-28 00:00:00.000000,Standard Class,PG-18895,7.56,6,0.0,0.3024,1
US-2017-145366,2017-12-09 00:00:00.000000,2017-12-13 00:00:00.000000,Standard Class,CA-12310,94.78399999999999,4,0.4,14.1494,2
CA-2017-163979,2017-12-28 00:00:00.000000,2018-01-02 00:00:00.000000,Second Class,KH-16690,725.84,4,0.0,210.4936,1
CA-2015-155334,2015-07-30 00:00:00.000000,2015-07-31 00:00:00.000000,First Class,HA-14920,226.13,13,0.2,98.7874,3
CA-2017-118136,2017-09-16 00:00:00.000000,2017-09-17 00:00:00.000000,First Class,BB-10990,14.8,3,0.0,5.612,2
CA-2017-132976,2017-10-13 00:00:00.000000,2017-10-17 00:00:00.000000,Standard Class,AG-10495,114.376,15,0.8,24.6492,4
US-2015-161991,2015-09-26 00:00:00.000000,2015-09-28 00:00:00.000000,Second Class,SC-20725,1116.48,12,1.0,372.678,2
CA-2015-130890,2015-11-02 00:00:00.000000,2015-11-06 00:00:00.000000,Standard Class,JO-15280,1038.84,5,0.2,51.942,1
CA-2015-130883,2015-09-26 00:00:00.000000,2015-10-02 00:00:00.000000,Standard Class,TB-21520,412.664,16,0.6000000000000001,106.6904,3
CA-2016-112697,2016-12-18 00:00:00.000000,2016-12-20 00:00:00.000000,Second Class,AH-10195,1410.066,14,1.0999999999999999,-349.3705,3
CA-2016-110772,2016-11-20 00:00:00.000000,2016-11-24 00:00:00.000000,Second Class,NZ-18565,380.54600000000005,20,1.1,18.61939999999999,4
CA-2014-111451,2014-12-26 00:00:00.000000,2014-12-28 00:00:00.000000,First Class,KL-16555,855.272,22,1.5,20.8692,5
CA-2016-142545,2016-10-28 00:00:00.000000,2016-11-03 00:00:00.000000,Standard Class,JD-15895,1263.67,21,0.0,98.2864,5
US-2017-152380,2017-11-19 00:00:00.000000,2017-11-23 00:00:00.000000,Standard Class,JH-15910,219.075,3,0.5,-131.445,1
CA-2015-144253,2015-05-04 00:00:00.000000,2015-05-09 00:00:00.000000,Second Class,AS-10225,26.8,2,0.0,12.864,1
CA-2014-130960,2014-12-30 00:00:00.000000,2015-01-04 00:00:00.000000,Standard Class,KB-16600,9.84,3,0.0,2.8536,1
CA-2014-111003,2014-06-01 00:00:00.000000,2014-06-06 00:00:00.000000,Standard Class,CR-12625,334.68,9,0.0,104.7888,2
CA-2017-126774,2017-04-15 00:00:00.000000,2017-04-17 00:00:00.000000,First Class,SH-20395,4.89,1,0.0,2.0049,1
CA-2016-142902,2016-09-12 00:00:00.000000,2016-09-14 00:00:00.000000,Second Class,BP-11185,503.4,10,0.8,59.8556,4
CA-2014-120887,2014-09-27 00:00:00.000000,2014-10-03 00:00:00.000000,Standard Class,TS-21205,87.54,3,0.0,37.6422,1
CA-2014-167850,2014-08-09 00:00:00.000000,2014-08-16 00:00:00.000000,Standard Class,AG-10525,193.93599999999998,5,0.4,27.7412,2
CA-2014-164259,2014-12-28 00:00:00.000000,2014-12-30 00:00:00.000000,First Class,SP-20860,99.136,4,0.2,8.6744,1
CA-2014-164973,2014-11-04 00:00:00.000000,2014-11-09 00:00:00.000000,Standard Class,NM-18445,4807.371999999999,14,0.1,2242.8403999999996,5
CA-2014-156601,2014-09-19 00:00:00.000000,2014-09-24 00:00:00.000000,Standard Class,FA-14230,7.16,2,0.0,3.58,1
CA-2016-162138,2016-04-23 00:00:00.000000,2016-04-27 00:00:00.000000,Standard Class,GK-14620,351.51,7,0.2,116.7405,2
CA-2017-153339,2017-11-03 00:00:00.000000,2017-11-05 00:00:00.000000,Second Class,DJ-13510,15.992,1,0.2,0.9995,1
US-2016-141544,2016-08-30 00:00:00.000000,2016-09-01 00:00:00.000000,First Class,PO-18850,1269.87,25,1.8,-316.85139999999996,5
US-2016-150147,2016-04-25 00:00:00.000000,2016-04-29 00:00:00.000000,Second Class,JL-15850,108.42,7,1.8,-37.9432,3
CA-2015-137946,2015-09-01 00:00:00.000000,2015-09-04 00:00:00.000000,Second Class,DB-13615,979.104,7,0.6000000000000001,342.0882,3
CA-2014-129924,2014-07-12 00:00:00.000000,2014-07-17 00:00:00.000000,Standard Class,AC-10420,706.064,5,0.4,-14.6632,2
CA-2015-128167,2015-06-22 00:00:00.000000,2015-06-26 00:00:00.000000,Second Class,KL-16645,4.96,4,0.0,2.3312,1
CA-2014-122336,2014-04-13 00:00:00.000000,2014-04-17 00:00:00.000000,Second Class,JD-15895,630.746,39,1.5,-388.396,4
US-2015-120712,2015-12-20 00:00:00.000000,2015-12-24 00:00:00.000000,Standard Class,CS-12130,88.8,4,0.2,-2.22,1
CA-2017-169901,2017-06-15 00:00:00.000000,2017-06-19 00:00:00.000000,Standard Class,CC-12550,47.976,3,0.2,4.7976,1
CA-2017-134306,2017-07-08 00:00:00.000000,2017-07-12 00:00:00.000000,Standard Class,TD-20995,45.08,7,0.0,18.79,3
CA-2016-129714,2016-09-01 00:00:00.000000,2016-09-03 00:00:00.000000,First Class,AB-10060,4438.686,12,0.4,1453.4346,5
CA-2016-138520,2016-04-08 00:00:00.000000,2016-04-13 00:00:00.000000,Standard Class,JL-15505,448.404,17,0.2,21.7512,4
CA-2016-130001,2016-04-23 00:00:00.000000,2016-04-28 00:00:00.000000,Standard Class,HK-14890,36.24,5,0.2,11.325,1
CA-2017-155698,2017-03-08 00:00:00.000000,2017-03-11 00:00:00.000000,First Class,VB-21745,668.5400000000001,10,0.0,178.3744,2
CA-2017-144904,2017-09-25 00:00:00.000000,2017-10-01 00:00:00.000000,Standard Class,KW-16435,562.026,15,0.1,118.98479999999999,4
CA-2014-123344,2014-09-24 00:00:00.000000,2014-09-29 00:00:00.000000,Standard Class,JD-16060,211.96,4,0.0,8.4784,1
CA-2016-155516,2016-10-21 00:00:00.000000,2016-10-21 00:00:00.000000,Same Day,MK-17905,1179.27,17,0.0,311.3476,4
CA-2017-104745,2017-05-29 00:00:00.000000,2017-06-04 00:00:00.000000,Standard Class,GT-14755,79.344,8,0.4,14.0706,2
US-2014-119137,2014-07-23 00:00:00.000000,2014-07-27 00:00:00.000000,Standard Class,AG-10900,1520.376,24,1.2999999999999998,144.4608,4
US-2016-134656,2016-09-28 00:00:00.000000,2016-10-01 00:00:00.000000,First Class,MM-18280,99.136,4,0.2,30.98,1
US-2017-134481,2017-08-27 00:00:00.000000,2017-09-01 00:00:00.000000,Standard Class,AR-10405,1488.424,7,0.3,-297.6848,1
CA-2015-130792,2015-04-28 00:00:00.000000,2015-05-05 00:00:00.000000,Standard Class,RA-19915,44.660000000000004,10,1.8,-36.5239,3
CA-2016-134775,2016-10-28 00:00:00.000000,2016-10-29 00:00:00.000000,First Class,AS-10285,100.49600000000001,10,0.2,42.8176,2
CA-2015-125395,2015-06-26 00:00:00.000000,2015-06-29 00:00:00.000000,Second Class,LA-16780,41.9,2,0.0,8.799,1
US-2015-168935,2015-11-27 00:00:00.000000,2015-12-02 00:00:00.000000,Standard Class,DO-13435,459.4335,6,0.65,-158.0592,2
CA-2015-122756,2015-12-03 00:00:00.000000,2015-12-07 00:00:00.000000,Standard Class,DK-13225,485.29999999999995,5,0.8999999999999999,-336.861,2
CA-2014-115973,2014-11-24 00:00:00.000000,2014-11-26 00:00:00.000000,First Class,NG-18430,2.624,1,0.2,0.4264,1
CA-2017-101798,2017-12-11 00:00:00.000000,2017-12-15 00:00:00.000000,Standard Class,MV-18190,63.339999999999996,6,0.2,21.4772,2
US-2014-135972,2014-09-21 00:00:00.000000,2014-09-23 00:00:00.000000,Second Class,JG-15115,2046.354,5,0.2,729.7065,2
US-2014-134971,2014-06-07 00:00:00.000000,2014-06-10 00:00:00.000000,Second Class,BP-11095,12.462,3,0.8,-20.5623,1
CA-2017-102946,2017-06-30 00:00:00.000000,2017-07-05 00:00:00.000000,Standard Class,VP-21730,75.792,3,0.2,25.5798,1
CA-2017-165603,2017-10-17 00:00:00.000000,2017-10-19 00:00:00.000000,Second Class,SS-20140,62.92,4,0.0,15.7132,2
CA-2015-122259,2015-10-31 00:00:00.000000,2015-11-04 00:00:00.000000,Standard Class,HP-14815,70.12,4,0.0,21.036,1
CA-2016-108987,2016-09-08 00:00:00.000000,2016-09-10 00:00:00.000000,Second Class,AG-10675,2620.9375999999997,13,0.9199999999999999,-345.6218,4
CA-2014-113166,2014-12-24 00:00:00.000000,2014-12-26 00:00:00.000000,First Class,LF-17185,9.568,2,0.2,3.4684,1
CA-2014-155208,2014-04-16 00:00:00.000000,2014-04-20 00:00:00.000000,Standard Class,SP-20650,39.072,6,0.2,9.768,1
CA-2017-117933,2017-12-24 00:00:00.000000,2017-12-29 00:00:00.000000,Standard Class,RF-19840,35.91,3,0.0,9.6957,1
CA-2017-117457,2017-12-08 00:00:00.000000,2017-12-12 00:00:00.000000,Standard Class,KH-16510,3955.5070000000005,46,0.75,431.81620000000004,9
CA-2017-142636,2017-11-03 00:00:00.000000,2017-11-07 00:00:00.000000,Standard Class,KC-16675,446.99600000000004,11,0.2,92.6086,2
CA-2017-122105,2017-06-24 00:00:00.000000,2017-06-28 00:00:00.000000,Standard Class,CJ-12010,95.92,8,0.0,25.8984,1
CA-2016-148796,2016-04-14 00:00:00.000000,2016-04-18 00:00:00.000000,Standard Class,PB-19150,383.8,5,0.2,38.38,1
CA-2017-154816,2017-11-06 00:00:00.000000,2017-11-10 00:00:00.000000,Standard Class,VB-21745,5.78,1,0.0,2.8322,1
CA-2017-110478,2017-03-04 00:00:00.000000,2017-03-09 00:00:00.000000,Standard Class,SP-20860,24.57,5,0.0,9.7178,2
CA-2014-142048,2014-06-22 00:00:00.000000,2014-06-25 00:00:00.000000,First Class,JE-15745,196.752,6,0.2,56.5662,1
CA-2017-125388,2017-10-19 00:00:00.000000,2017-10-23 00:00:00.000000,Standard Class,MP-17965,89.26,7,0.0,23.2076,2
CA-2017-155705,2017-08-21 00:00:00.000000,2017-08-23 00:00:00.000000,Second Class,NF-18385,866.4,4,0.0,225.264,1
CA-2017-149160,2017-11-23 00:00:00.000000,2017-11-26 00:00:00.000000,Second Class,JM-15265,316.32,10,0.0,149.2776,2
